114196	434587	369120	369183	48	201	48201	TX	US	5	UP													COLUMBIA TAP INDUSTRIAL LEAD					0	O	0.6564835411	1.056509961	C	0.01028144726
114197	536615	377201	497776	48	245	48245	TX	US	5	UP													BEAUMONT (UP)		AMELIA			0	Y	0.8652481445	1.392484695	C	0.01425611948
114198	434589	357677	357698	48	439	48439	TX	US	5	FWWR													DUBLIN					0	O	0.1131096146	0.1820326436	C	0.001880025511
114199	434590	357716	357719	48	439	48439	TX	US	5	BNSF													FORT WORTH		SAGINAW			0	Y	0.02549475459	0.04102991239	C	0.00037009674
114200	434591	357720	357722	48	439	48439	TX	US	5	BNSF													FORT WORTH		SAGINAW			0	Y	0.01622387989	0.02610985598	C	0.0002355815171
114201	434592	359881	359957	48	439	48439	TX	US	5	UP													GREAT SOUTHWEST LEAD					0	O	0.3487110083	0.5611970914	C	0.005858870853
114202	434593	359880	359955	48	439	48439	TX	US	5	UP													GREAT SOUTHWEST LEAD					0	O	0.3598043561	0.5790501398	C	0.00601139454
114203	434594	359879	359956	48	439	48439	TX	US	5	UP													GREAT SOUTHWEST LEAD					0	O	0.3661195394	0.5892134625	C	0.006111973476
114204	434595	359883	360045	48	439	48439	TX	US	5	UP													GREAT SOUTHWEST LEAD					0	O	1.0732932	1.727301426	C	0.01825354413
114205	434597	369486	369501	48	201	48201	TX	US	5	UP													HOUSTON WEST BELT					0	O	0.1151408304	0.1853015752	C	0.001835841766
114206	434598	369624	369636	48	201	48201	TX	US	5	UP													BELL MAIN					0	O	0.08936100457	0.1438128842	C	0.001419785525
114207	434599	369624	369634	48	201	48201	TX	US	5	UP													BELL MAIN					0	O	0.1638013588	0.2636132611	C	0.002448753589
114208	434600	369634	369657	48	201	48201	TX	US	5	UP													BELL MAIN					0	O	0.1724106909	0.2774686659	C	0.002737961886
114209	434601	369638	369624	48	201	48201	TX	US	5	UP													BELL MAIN					0	O	0.1861777529	0.2996246489	C	0.002845229897
114210	434602	369727	369805	48	201	48201	TX	US	5	UP													STRANG					0	O	0.5291275063	0.8515498805	C	0.008568174803
114211	434603	372604	372634	48	167	48167	TX	US	5	TCT																		0	O	0.1976032418	0.3180122275	C	0.003275586873
114212	434604	372597	372655	48	167	48167	TX	US	5	TCT																		1	I	0.3811614213	0.6134210733	C	0.006318372517
114213	434605	372548	372551	48	167	48167	TX	US	5	TCT																		1	I	0.976539463	1.571591069	C	0.01417873081
114214	434606	372454	372551	48	167	48167	TX	US	5	TCT																		1	I	1.123438249	1.808002222	C	0.01846453384
114215	434607	372594	372639	48	167	48167	TX	US	5	TCT																		0	O	0.2932327499	0.4719133105	C	0.004853823905
114216	434608	372594	372602	48	167	48167	TX	US	5	TCT																		0	O	0.08084016111	0.1300998884	C	0.001318231527
114218	434610	373282	373321	48	167	48167	TX	US	5	UP																		0	O	0.6403796698	1.030593241	C	0.01048533576
114219	434611	353296	353307	48	53	48053	TX	US	5	AWRR													MAIN LINE					0	M	0.1406392191	0.2263373362	C	0.002335257972
114220	434614	359535	359577	48	309	48309	TX	US	5	UP													WACO		BELLMEAD			0	Y	0.8160787079	1.313353999	C	0.0125643699
114221	434615	359551	359595	48	309	48309	TX	US	5	UP													WACO		BELLMEAD			0	Y	0.8928172914	1.436853025	C	0.01378769154
114222	434616	359551	359588	48	309	48309	TX	US	5	UP													WACO		BELLMEAD			0	Y	0.7322541056	1.178451108	C	0.01134307758
114223	434617	359530	359551	48	309	48309	TX	US	5	UP													WACO		BELLMEAD			0	Y	0.381308347	0.6136575277	C	0.005774855905
114224	434618	359558	359577	48	309	48309	TX	US	5	UP													WACO		BELLMEAD			0	Y	0.5121285979	0.8241927346	C	0.007778860086
114225	434619	359577	359588	48	309	48309	TX	US	5	UP													WACO		BELLMEAD			0	Y	0.2465770992	0.3968281689	C	0.003750925567
114226	434620	359595	359588	48	309	48309	TX	US	5	UP													WACO		BELLMEAD			0	Y	0.1606206013	0.2584943179	C	0.0024455127
114227	434621	359615	359595	48	309	48309	TX	US	5	UP													WACO		BELLMEAD			0	Y	0.4101840714	0.6601285944	C	0.006109922087
114228	434622	359548	359584	48	309	48309	TX	US	5	UP													WACO					0	O	0.5512454832	0.8871453852	C	0.008912245824
114229	434623	359548	359571	48	309	48309	TX	US	5	UP													WACO					0	O	0.3306408155	0.5321158767	C	0.00553970406
114230	434624	359584	359593	48	309	48309	TX	US	5	UP													FORT WORTH					0	O	0.4226653893	0.6802153688	C	0.006231813394
114231	434625	359571	359587	48	309	48309	TX	US	5	UP													FORT WORTH					0	O	0.1706387032	0.2746169223	C	0.002786414378
114232	434626	359584	359589	48	309	48309	TX	US	5	UP													WACO					0	O	0.07058918978	0.1136025163	C	0.001080464249
114233	434627	359589	359613	48	309	48309	TX	US	5	UP													FORT WORTH					0	O	0.3398789296	0.5469832101	C	0.005399528874
114234	434628	369643	369650	48	39	48039	TX	US	5	UP													FREEPORT IND LEAD					0	O	0.2591673823	0.4170903059	C	0.003905289182
114235	434629	369663	369658	48	39	48039	TX	US	5	UP													FREEPORT IND LEAD					0	O	0.2917141753	0.4694693967	C	0.004345187071
114236	434630	369647	369684	48	39	48039	TX	US	5	UP													FREEPORT IND LEAD					0	O	0.6135706952	0.9874482918	C	0.009199028151
114237	434631	369672	369684	48	39	48039	TX	US	5	UP													FREEPORT IND LEAD					0	O	0.2668462296	0.4294482374	C	0.004032177531
114238	434632	369683	369684	48	39	48039	TX	US	5	UP													FREEPORT IND LEAD					0	O	0.2347167509	0.3777407502	C	0.003520222547
114239	434633	369591	369647	48	39	48039	TX	US	5	UP													FREEPORT IND LEAD					0	O	0.320671056	0.5160710721	C	0.005156078583
114240	434634	369647	369613	48	39	48039	TX	US	5	UP													FREEPORT IND LEAD					0	O	0.2232546168	0.3592941966	C	0.003544635459
114241	434635	369490	369508	48	39	48039	TX	US	5	UP													FREEPORT IND LEAD					0	O	0.2119275813	0.3410650635	C	0.003464736841
114242	434636	369508	369562	48	39	48039	TX	US	5	UP													FREEPORT IND LEAD					0	O	1.103774697	1.776356739	C	0.01679597577
