OBJECTID,FRANODEID,COUNTRY,STATE,STFIPS,CTYFIPS,STCYFIPS,FRADISTRCT,PASSNGR,PASSNGRSTN,BNDRY,x,y
100782,374186,US,TX,48,343,48343,5,,,0,-94.659863877465,32.95593339456
100784,374188,US,TX,48,343,48343,5,,,0,-94.6597986202495,33.0015113797832
100786,374190,US,TX,48,347,48347,5,,,0,-94.6596252822306,31.6625593729796
100787,374191,US,TX,48,347,48347,5,,,0,-94.6593570937958,31.6069672959424
100789,374193,US,TX,48,401,48401,5,,,0,-94.6593066938168,32.2351090764424
100790,374194,US,TX,48,347,48347,5,,,0,-94.6592590741236,31.6088418520676
100791,374195,US,TX,48,343,48343,5,,,0,-94.6589803331792,32.947647482472
100792,374196,US,TX,48,347,48347,5,,,0,-94.6589565592651,31.6143698402346
100794,374198,US,TX,48,347,48347,5,,,0,-94.6588072044677,31.6013949609901
100795,374199,US,TX,48,343,48343,5,,,0,-94.6587540610338,32.933801713208
100797,374201,US,TX,48,347,48347,5,,,0,-94.6583878187908,31.598357593154
100798,374202,US,TX,48,347,48347,5,,,0,-94.6582757350945,31.5975827820114
100800,374204,US,TX,48,343,48343,5,,,0,-94.6580105910502,32.9607605570107
100802,374206,US,TX,48,343,48343,5,,,0,-94.6578812911414,32.9469902122836
100805,374209,US,TX,48,343,48343,5,,,0,-94.6575980478408,33.0073213433756
100806,374210,US,TX,48,343,48343,5,,,0,-94.6575364943792,32.9523668967618
100807,374211,US,TX,48,343,48343,5,,,0,-94.6571809223251,32.9607713322696
100809,374213,US,TX,48,343,48343,5,,,0,-94.6566206269127,32.9523776707828
100810,374214,US,TX,48,343,48343,5,,,0,-94.6565236519812,32.951418703903
100812,374216,US,TX,48,343,48343,5,,,0,-94.6564159026561,32.9466454144107
100814,374218,US,TX,48,343,48343,5,,,0,-94.656150135181,32.9850536800318
100816,374220,US,TX,48,343,48343,5,,,0,-94.6556508829871,32.941268730998
100817,374221,US,TX,48,343,48343,5,,,0,-94.6554461605271,32.9489081480504
100822,374226,US,TX,48,343,48343,5,,,0,-94.6549289653837,32.933435366292
100823,374227,US,TX,48,343,48343,5,,,0,-94.6548966395083,32.9370449638908
100824,374228,US,TX,48,343,48343,5,,,0,-94.6544979680835,32.9411071085301
100829,374233,US,TX,48,67,48067,5,,,3,-94.6537437246046,32.9380147063939
100830,374234,US,TX,48,67,48067,5,,,3,-94.653722174021,32.9397602433946
100831,374235,US,TX,48,67,48067,5,,,3,-94.653722174021,32.9409670335758
100834,374238,US,TX,48,67,48067,5,,,0,-94.6535713244269,32.9385750024763
100836,374240,US,TX,48,67,48067,5,,,3,-94.6533820961089,33.0054077962606
100837,374241,US,TX,48,67,48067,5,,,3,-94.6533781722677,33.005548150239
100838,374242,US,TX,48,347,48347,5,,,0,-94.6533751691997,31.5722515218997
100839,374243,US,TX,48,347,48347,5,,,0,-94.6533557736744,31.5720511078674
100842,374246,US,TX,48,347,48347,5,,,0,-94.6532458701893,31.5851620273725
100852,374256,US,TX,48,67,48067,5,,,3,-94.6522126423226,33.221804585486
100853,374257,US,TX,48,347,48347,5,,,0,-94.6522050120326,31.5765442486053
100858,374262,US,TX,48,67,48067,5,,,0,-94.6516857139331,32.9414088047205
100860,374264,US,TX,48,67,48067,5,,,0,-94.6515240917421,32.9440702100283
100866,374270,US,TX,48,67,48067,5,,,0,-94.6511254185207,32.9331228929229
100870,374274,US,TX,48,347,48347,5,,,0,-94.6508603032225,31.5951439125577
100872,374276,US,TX,48,67,48067,5,,,0,-94.6507375223878,32.934814555212
100877,374281,US,TX,48,347,48347,5,,,0,-94.650103903787,31.5843409788755
100878,374282,US,TX,48,347,48347,5,,,0,-94.6499853001183,31.5833367990502
100879,374283,US,TX,48,347,48347,5,,,0,-94.6499616744264,31.5714757283132
100880,374284,US,TX,48,67,48067,5,,,0,-94.6497570040686,32.9429496183623
100881,374285,US,TX,48,347,48347,5,,,0,-94.6497547960097,31.5766670833892
100886,374290,US,TX,48,67,48067,5,,,0,-94.6494660801723,32.9349977293962
100887,374291,US,TX,48,347,48347,5,,,0,-94.6491341607597,31.5794405466039
100889,374293,US,TX,48,347,48347,5,,,0,-94.6491083009576,31.5787617273971
100896,374300,US,TX,48,67,48067,5,,,0,-94.6486364132439,32.9364631182609
100897,374301,US,TX,48,347,48347,5,,,0,-94.6483454363469,31.5756003662241
100900,374304,US,TX,48,347,48347,5,,,0,-94.6480947255343,31.5748307085713
100904,374308,US,TX,48,347,48347,5,,,0,-94.6478333912451,31.5736982403576
100905,374309,US,TX,48,347,48347,5,,,0,-94.6477183368201,31.5729432715088
100912,374316,US,TX,48,347,48347,5,,,0,-94.6472542994837,31.5711887998816
100932,374336,US,TX,48,347,48347,5,,,0,-94.6448453772178,31.5866124825614
100933,374337,US,TX,48,291,48291,5,,,0,-94.644635535259,30.1427203089624
100937,374341,US,TX,48,67,48067,5,,,0,-94.6436530595109,33.0013179536179
100940,374344,US,TX,48,203,48203,5,,,0,-94.6427081728675,32.5047978152493
100949,374353,US,TX,48,203,48203,5,,,0,-94.641591004624,32.5046566100235
100953,374357,US,TX,48,203,48203,5,,,0,-94.641202712334,32.5042916756069
100955,374359,US,TX,48,203,48203,5,,,0,-94.6410703842044,32.504292665784
100958,374362,US,TX,48,291,48291,5,,,0,-94.6405738583974,30.1423399901649
100970,374374,US,TX,48,203,48203,5,,,0,-94.6391280828297,32.5036962439054
100978,374382,US,TX,48,203,48203,5,,,0,-94.6376509470754,32.5043888613909
100983,374387,US,TX,48,203,48203,5,,,0,-94.6370622702899,32.5044595373496
100985,374389,US,TX,48,203,48203,5,,,0,-94.6363675482835,32.5052995512212
100991,374395,US,TX,48,291,48291,5,,,0,-94.6354003223356,30.1418555612572
101001,374405,US,TX,48,291,48291,5,,,0,-94.6343197298972,30.1418190174765
101003,374407,US,TX,48,67,48067,5,,,0,-94.6339842082403,32.9982406753482
101010,374414,US,TX,48,67,48067,5,,,0,-94.6325717475932,32.9980259974316
101057,374461,US,TX,48,203,48203,5,,,0,-94.6289718964158,32.507098016218
101081,374484,US,TX,48,291,48291,5,,,0,-94.6257164332672,30.1410180619708
101115,374517,US,TX,48,5,48005,5,,,0,-94.6214109203998,31.350922716849
101127,374529,US,TX,48,347,48347,5,,,0,-94.6207326384614,31.7108298995822
101211,374612,US,TX,48,5,48005,5,,,0,-94.6147296941859,31.3455375560732
101226,374626,US,TX,48,5,48005,5,,,0,-94.6143417989513,31.3487010721629
101239,374639,US,TX,48,291,48291,5,,,0,-94.6135893952222,30.139813274447
101258,374657,US,TX,48,37,48037,5,,,3,-94.6121379153524,33.2489106847432
101357,374756,US,TX,48,199,48199,5,,,3,-94.6060205095401,30.1391045553687
101382,374781,US,TX,48,183,48183,5,,,3,-94.6039182262981,32.3993861812549
101404,374803,US,TX,48,203,48203,5,,,0,-94.6021385334646,32.5115599319214
101472,374870,US,TX,48,291,48291,5,,,0,-94.5948210709592,30.0304042808091
101494,374892,US,TX,48,347,48347,5,,,0,-94.5926864753164,31.7206437471713
101500,374898,US,TX,48,37,48037,5,,,0,-94.5913069226531,33.2916637102811
101501,374899,US,TX,48,291,48291,5,,,0,-94.591297457105,30.0298589055941
101538,374935,US,TX,48,291,48291,5,,,0,-94.5876316534161,30.0292650092113
101559,374956,US,TX,48,203,48203,5,,,0,-94.585329559702,32.5066379046711
101569,374965,US,TX,48,183,48183,5,,,0,-94.5848016566405,32.387761447685
101587,374982,US,TX,48,183,48183,5,,,3,-94.5823300463408,32.3880003918177
101627,375021,US,TX,48,401,48401,5,,,0,-94.5768686604176,32.2659641317377
101631,375025,US,TX,48,401,48401,5,,,0,-94.5758332730009,32.2494138972448
101633,375027,US,TX,48,401,48401,5,,,0,-94.5755761015047,32.2495754806079
101637,375030,US,TX,48,401,48401,5,,,0,-94.5751499092929,32.2643626448234
101640,375033,US,TX,48,199,48199,5,,,0,-94.5746657739486,30.4192332102867
101647,375040,US,TX,48,401,48401,5,,,0,-94.5738344092043,32.2658923391927
101656,375049,US,TX,48,401,48401,5,,,0,-94.5728517708611,32.2600767159086
101666,375059,US,TX,48,37,48037,5,,,0,-94.5716638027968,33.3082406015506
101667,375060,US,TX,48,401,48401,5,,,0,-94.5716595357992,32.2536214963026
101669,375062,US,TX,48,401,48401,5,,,0,-94.5713722788258,32.2539000778389
101670,375063,US,TX,48,401,48401,5,,,0,-94.5713200094527,32.2570532740705
101692,375085,US,TX,48,401,48401,5,,,0,-94.5692572592697,32.2650461074623
101707,375100,US,TX,48,401,48401,5,,,0,-94.5685288737964,32.2646323508047
101708,375101,US,TX,48,401,48401,5,,,0,-94.5684053940724,32.2555932730169
101710,375103,US,TX,48,203,48203,5,,,0,-94.5683431471114,32.5046054452624
101722,375113,US,TX,48,199,48199,5,,,0,-94.5662342540655,30.4177952318063
101725,375115,US,TX,48,401,48401,5,,,0,-94.5656914650214,32.2565094405331
101728,375118,US,TX,48,401,48401,5,,,0,-94.564231837432,32.2570252596709
101730,375119,US,TX,48,401,48401,5,,,0,-94.5639887551128,32.2566912375984
101733,375122,US,TX,48,401,48401,5,,,0,-94.56348214931,32.2561508394388
101739,375127,US,TX,48,199,48199,5,,,0,-94.5620244881327,30.4170772653235
101781,375164,US,TX,48,67,48067,5,,,0,-94.5579955934908,32.9013526171255
101791,375173,US,TX,48,365,48365,5,,,3,-94.5568069229439,32.2491657438599
101795,375177,US,TX,48,67,48067,5,,,0,-94.5559348555341,32.8973624530164
101816,375198,US,TX,48,365,48365,5,,,0,-94.5536650248135,32.2298951923725
101817,375199,US,TX,48,365,48365,5,,,0,-94.5534716947879,32.2303395639036
101818,375200,US,TX,48,291,48291,5,,,0,-94.5532190831402,30.0237968244715
101832,375214,US,TX,48,365,48365,5,,,0,-94.5523971911305,32.235010619725
101871,375252,US,TX,48,365,48365,5,,,0,-94.5446176999217,32.2287396159111
101880,375261,US,TX,48,365,48365,5,,,0,-94.5430749548123,32.2277926128092
101887,375267,US,TX,48,365,48365,5,,,0,-94.5408158670442,32.2264058840195
101918,375297,US,TX,48,365,48365,5,,,0,-94.5379508180063,32.22750815986
101920,375299,US,TX,48,365,48365,5,,,0,-94.5378111120133,32.2148414759416
101922,375301,US,TX,48,347,48347,5,,,0,-94.5377716166835,31.7837726776255
101924,375303,US,TX,48,365,48365,5,,,0,-94.5376290774041,32.2244750783249
101929,375308,US,TX,48,315,48315,5,,,3,-94.5374941899743,32.879796203485
101935,375314,US,TX,48,199,48199,5,,,0,-94.5370309925627,30.4127983962028
101951,375330,US,TX,48,365,48365,5,,,0,-94.5353379000175,32.2235569963409
101957,375336,US,TX,48,365,48365,5,,,0,-94.5346181338792,32.2306124127936
101962,375341,US,TX,48,365,48365,5,,,0,-94.5343866766581,32.2140231321276
101976,375355,US,TX,48,347,48347,5,,,0,-94.5326705989197,31.7863799165605
101980,375359,US,TX,48,365,48365,5,,,0,-94.5322217925189,32.2187686233084
102004,375382,US,TX,48,365,48365,5,,,0,-94.5298582181068,32.2206411878908
102019,375397,US,TX,48,315,48315,5,,,0,-94.5288215029802,32.8522799115255
102062,375439,US,TX,48,365,48365,5,,,0,-94.523305548895,32.2282290444187
102172,375547,US,TX,48,401,48401,5,,,3,-94.5123097431176,32.314657945215
102175,375550,US,TX,48,401,48401,5,,,0,-94.5122526111638,32.3155157599622
102177,375552,US,TX,48,401,48401,5,,,3,-94.5121675469946,32.3148690920754
102184,375559,US,TX,48,365,48365,5,,,0,-94.5116660472159,32.3108373434445
102196,375571,US,TX,48,315,48315,5,,,0,-94.5106221545501,32.8379784932636
102241,375616,US,TX,48,365,48365,5,,,0,-94.5059662915354,32.2281576559479
102260,375635,US,TX,48,291,48291,5,,,0,-94.5050498186045,30.0246695216934
102280,375654,US,TX,48,203,48203,5,,,0,-94.5035003954193,32.5105042846306
102287,375661,US,TX,48,203,48203,5,,,0,-94.5028563464797,32.5108079550471
102302,375676,US,TX,48,365,48365,5,,,0,-94.5014452485769,32.2329501620179
102316,375690,US,TX,48,365,48365,5,,,0,-94.5003834291313,32.2331799594318
102321,375695,US,TX,48,365,48365,5,,,0,-94.5000655512848,32.3007024474019
102324,375698,US,TX,48,365,48365,5,,,0,-94.4997125538024,32.2342698137164
102358,375732,US,TX,48,347,48347,5,,,0,-94.4961813815234,31.8160788835342
102374,375748,US,TX,48,347,48347,5,,,0,-94.4943922150568,31.8184137644282
102399,375773,US,TX,48,315,48315,5,,,0,-94.4897816154543,32.8254982043753
102404,375777,US,TX,48,203,48203,5,,,0,-94.4888411009114,32.4657347565415
102406,375778,US,TX,48,347,48347,5,,,0,-94.4887319502145,31.8267780504823
102412,375782,US,TX,48,203,48203,5,,,0,-94.4875016427542,32.4605678392686
102413,375783,US,TX,48,203,48203,5,,,0,-94.4873561812552,32.459867469244
102437,375800,US,TX,48,365,48365,5,,,0,-94.4852454547479,32.2699485289406
102443,375803,US,TX,48,203,48203,5,,,0,-94.4846624526201,32.4619093169133
102473,375819,US,TX,48,365,48365,5,,,0,-94.4818092460725,32.2765555858449
102479,375823,US,TX,48,199,48199,5,,,0,-94.4808593144905,30.4031730220011
102485,375826,US,TX,48,365,48365,5,,,0,-94.480460894594,32.2887971639374
102493,375833,US,TX,48,365,48365,5,,,0,-94.4788317782667,32.2813338056804
102495,375835,US,TX,48,203,48203,5,,,0,-94.4783059709747,32.5157143888838
102528,375861,US,TX,48,365,48365,5,,,0,-94.4751687728299,32.2855834268413
102548,375876,US,TX,48,199,48199,5,,,0,-94.4735305152462,30.4019171858508
102557,375885,US,TX,48,365,48365,5,,,0,-94.4722625737654,32.2845815188751
102564,375889,US,TX,48,365,48365,5,,,0,-94.4715520009858,32.2899328575704
102600,375916,US,TX,48,365,48365,5,,,0,-94.467714928098,32.2822832883218
102609,375925,US,TX,48,365,48365,5,,,0,-94.4669860925687,32.2935795418094
102635,375949,US,TX,48,315,48315,5,,,0,-94.4624998009369,32.817132615471
102639,375953,US,TX,48,365,48365,5,,,0,-94.4618999958217,32.3130911208627
102662,375974,US,TX,48,365,48365,5,,,0,-94.4565155550941,32.2436145907659
102665,375977,US,TX,48,365,48365,5,,,0,-94.4560468393317,32.2435607053741
102698,376007,US,TX,48,365,48365,5,,,0,-94.4525553375539,32.2431593059902
102699,376008,US,TX,48,347,48347,5,,,3,-94.452420839993,31.8442033813725
102720,376025,US,TX,48,365,48365,5,,,0,-94.446922460548,32.2414488123002
102723,376028,US,TX,48,199,48199,5,,,0,-94.4457495338748,30.397146147408
102729,376034,US,TX,48,291,48291,5,,,3,-94.4444793367243,30.0330948646365
102751,376056,US,TX,48,199,48199,5,,,0,-94.4417928961211,30.3964655443595
102827,376130,US,TX,48,203,48203,5,,,0,-94.4284055154443,32.5168730011624
102832,376135,US,TX,48,245,48245,5,,,0,-94.4276476122289,30.0353872980472
102877,376180,US,TX,48,419,48419,5,,,0,-94.4242795560392,31.8759402656377
102910,376212,US,TX,48,203,48203,5,,,0,-94.4169787339262,32.527516170531
102911,376213,US,TX,48,37,48037,5,,,0,-94.416894498902,33.4591497003161
102922,376223,US,TX,48,245,48245,5,,,0,-94.4143644774476,30.0372164942137
102925,376225,US,TX,48,315,48315,5,,,0,-94.4134435497711,32.7885202962188
102931,376231,US,TX,48,419,48419,5,,,0,-94.4118727269192,31.8950348387249
102938,376238,US,TX,48,199,48199,5,,,0,-94.4095413535169,30.1209364733196
102950,376250,US,TX,48,419,48419,5,,,0,-94.4074545536371,31.8986421440418
102951,376251,US,TX,48,419,48419,5,,,0,-94.4070881505957,31.8982712059665
102954,376254,US,TX,48,199,48199,5,,,0,-94.4055848244593,30.1209506950071
102956,376256,US,TX,48,203,48203,5,,,0,-94.4041479691623,32.5360178976756
102961,376261,US,TX,48,37,48037,5,,,0,-94.4029394997466,33.459897999872
102968,376267,US,TX,48,203,48203,5,,,0,-94.4012757237206,32.5349715204562
102970,376269,US,TX,48,199,48199,5,,,0,-94.4011449622529,30.3894734711379
102971,376270,US,TX,48,419,48419,5,,,0,-94.4002535918443,31.9042121961582
102994,376293,US,TX,48,199,48199,5,,,0,-94.3934248398029,30.3881454897225
102998,376297,US,TX,48,419,48419,5,,,0,-94.3920357084037,31.9089157893688
103009,376307,US,TX,48,203,48203,5,,,0,-94.389367410176,32.5486399816495
103014,376311,US,TX,48,199,48199,5,,,0,-94.3884964054731,30.1210121140563
103016,376313,US,TX,48,37,48037,5,,,0,-94.3878645799096,33.4665033834519
103026,376322,US,TX,48,37,48037,5,,,0,-94.3849346132194,33.4608808486161
103038,376334,US,TX,48,315,48315,5,,,0,-94.3827686232541,32.7859923019358
103039,376335,US,TX,48,365,48365,5,,,0,-94.3825456919433,32.08199445121
103059,376355,US,TX,48,203,48203,5,,,0,-94.3793972459928,32.5509791247074
103079,376374,US,TX,48,245,48245,5,,,0,-94.3768835514187,30.0423483172255
103089,376383,US,TX,48,315,48315,5,,,0,-94.3758316619502,32.782398105273
103091,376385,US,TX,48,245,48245,5,,,0,-94.3751700626249,30.0467778157801
103100,376394,US,TX,48,365,48365,5,,,0,-94.373344664408,32.0313372914265
103110,376404,US,TX,48,203,48203,5,,,0,-94.3722154102307,32.5771010892754
103121,376414,US,TX,48,315,48315,5,,,0,-94.3711844739662,32.7732369494734
103124,376417,US,TX,48,365,48365,5,,,0,-94.3708935608496,32.0275383363742
103127,376420,US,TX,48,315,48315,5,,,0,-94.3703763549265,32.7748596520699
103128,376421,US,TX,48,315,48315,5,,,0,-94.3703698888531,32.7783313308311
103134,376427,US,TX,48,315,48315,5,,,0,-94.3699949230703,32.7784735601028
103140,376433,US,TX,48,203,48203,5,A,Marshall,0,-94.3696610004146,32.5513940006034
103145,376438,US,TX,48,315,48315,5,,,0,-94.3693242750152,32.7726563035868
103165,376456,US,TX,48,315,48315,5,,,0,-94.3676702043876,32.77166533758
103166,376457,US,TX,48,365,48365,5,,,0,-94.3676238558105,32.1903055835127
103169,376460,US,TX,48,203,48203,5,,,0,-94.3673270542373,32.553817716074
103171,376462,US,TX,48,203,48203,5,,,0,-94.3672608789435,32.5552162540842
103173,376464,US,TX,48,203,48203,5,,,0,-94.3671716726425,32.5556525380888
103175,376466,US,TX,48,203,48203,5,,,0,-94.3670639224192,32.559644644785
103185,376476,US,TX,48,203,48203,5,,,0,-94.3663238696269,32.578618886634
103186,376477,US,TX,48,203,48203,5,,,0,-94.366249570868,32.5617292461168
103187,376478,US,TX,48,203,48203,5,,,0,-94.3661720848866,32.5688025407823
103195,376486,US,TX,48,203,48203,5,,,0,-94.3652105964784,32.5522934793795
103199,376490,US,TX,48,203,48203,5,,,0,-94.365011300741,32.5521291393414
103201,376492,US,TX,48,203,48203,5,,,0,-94.3648301608539,32.5514617243825
103218,376508,US,TX,48,315,48315,5,,,0,-94.3626072078181,32.7677034676728
103219,376509,US,TX,48,203,48203,5,,,0,-94.3625600076382,32.5531473689852
103221,376511,US,TX,48,315,48315,5,,,0,-94.3623351494411,32.7680175944585
103228,376518,US,TX,48,203,48203,5,,,0,-94.3617175792428,32.5514774809061
103243,376531,US,TX,48,203,48203,5,,,0,-94.3599633213082,32.5500565954224
103246,376534,US,TX,48,203,48203,5,,,0,-94.3599331756439,32.5508582123911
103248,376536,US,TX,48,315,48315,5,,,0,-94.3597357385209,32.766731099786
103252,376539,US,TX,48,365,48365,5,,,0,-94.3588700042338,32.1840850035284
103253,376540,US,TX,48,315,48315,5,,,0,-94.3588588597344,32.7664673718604
103257,376544,US,TX,48,203,48203,5,,,0,-94.3582001754422,32.5518974458707
103259,376546,US,TX,48,315,48315,5,,,0,-94.3575022365687,32.7658262790658
103262,376549,US,TX,48,203,48203,5,,,0,-94.3571672898336,32.549957340352
103265,376552,US,TX,48,203,48203,5,,,0,-94.3565990838568,32.5498617568885
103272,376557,US,TX,48,203,48203,5,,,0,-94.3556532432026,32.549762241879
103287,376572,US,TX,48,315,48315,5,,,0,-94.3534807188919,32.7656739028876
103303,376588,US,TX,48,315,48315,5,,,0,-94.3527135791988,32.7655041162982
103309,376594,US,TX,48,203,48203,5,,,0,-94.3505770476866,32.6504345906257
103310,376595,US,TX,48,37,48037,5,,,0,-94.3505283949308,33.4410519496734
103311,376596,US,TX,48,37,48037,5,,,0,-94.3505089490999,33.3312260903115
103313,376598,US,TX,48,203,48203,5,,,0,-94.3498303491579,32.5496789704862
103316,376601,US,TX,48,315,48315,5,,,0,-94.3491782010077,32.76558621395
103321,376606,US,TX,48,315,48315,5,,,0,-94.3486153444984,32.7655420238595
103324,376609,US,TX,48,315,48315,5,,,3,-94.3481505903064,32.7089135691123
103327,376612,US,TX,48,37,48037,5,,,0,-94.3480377026179,33.4436634153721
103335,376620,US,TX,48,37,48037,5,,,0,-94.3477757341181,33.445176500417
103369,376654,US,TX,48,315,48315,5,,,0,-94.3443448102316,32.7677235279788
103371,376656,US,TX,48,37,48037,5,,,0,-94.3440003000319,33.4414095998369
103381,376666,US,TX,48,245,48245,5,,,0,-94.3426441044643,30.0470242118236
103382,376667,US,TX,48,203,48203,5,,,0,-94.3425743017735,32.6708372121831
103388,376673,US,TX,48,365,48365,5,,,0,-94.3419000146431,32.1719613372369
103411,376695,US,TX,48,37,48037,5,,,0,-94.3391058004603,33.4634163005561
103440,376722,US,TX,48,315,48315,5,,,0,-94.3358196751161,32.7830903328996
